Id;X;Y;Z;Teneur (%)
54;427138.951;5839076.034;8764.087675;7.19608642
55;427178.951;5839076.034;8764.087675;7.19399359
56;427218.951;5839076.034;8764.087675;7.19213735
57;427258.951;5839076.034;8764.087675;7.19053056
58;427298.951;5839076.034;8764.087675;7.18916098
59;427338.951;5839076.034;8764.087675;7.1879995
60;427378.951;5839076.034;8764.087675;7.18701249
62;426218.951;5839116.034;8764.087675;7.18449893
63;426258.951;5839116.034;8764.087675;7.18489319
64;426298.951;5839116.034;8764.087675;7.18533616
65;426338.951;5839116.034;8764.087675;7.18583264
66;426378.951;5839116.034;8764.087675;7.18638326
67;426418.951;5839116.034;8764.087675;7.18697896
68;426458.951;5839116.034;8764.087675;7.18758543
69;426498.951;5839116.034;8764.087675;7.18811758
70;426538.951;5839116.034;8764.087675;7.18842214
71;426578.951;5839116.034;8764.087675;7.18847854
72;426618.951;5839116.034;8764.087675;7.18914575
73;426658.951;5839116.034;8764.087675;7.19143238
74;426698.951;5839116.034;8764.087675;7.19440156
75;426738.951;5839116.034;8764.087675;7.19730368
76;426778.951;5839116.034;8764.087675;7.20050232
77;426818.951;5839116.034;8764.087675;7.20493033
78;426858.951;5839116.034;8764.087675;7.21226297
79;426898.951;5839116.034;8764.087675;7.22634537
80;426938.951;5839116.034;8764.087675;7.24524646
81;426978.951;5839116.034;8764.087675;6.99047431
82;427018.951;5839116.034;8764.087675;7.17548416
83;427058.951;5839116.034;8764.087675;7.20326367
84;427098.951;5839116.034;8764.087675;7.20123295
85;427138.951;5839116.034;8764.087675;7.19819223
86;427178.951;5839116.034;8764.087675;7.19555441
87;427218.951;5839116.034;8764.087675;7.1933284
88;427258.951;5839116.034;8764.087675;7.19145744
89;427298.951;5839116.034;8764.087675;7.18988983
90;427338.951;5839116.034;8764.087675;7.18857519
91;427378.951;5839116.034;8764.087675;7.18746819
93;426218.951;5839156.034;8764.087675;7.18471243
94;426258.951;5839156.034;8764.087675;7.18514275
95;426298.951;5839156.034;8764.087675;7.18563108
96;426338.951;5839156.034;8764.087675;7.18618529
97;426378.951;5839156.034;8764.087675;7.18680841
98;426418.951;5839156.034;8764.087675;7.18748546
99;426458.951;5839156.034;8764.087675;7.18814673
100;426498.951;5839156.034;8764.087675;7.18854452
101;426538.951;5839156.034;8764.087675;7.18783897
102;426578.951;5839156.034;8764.087675;7.18375678
103;426618.951;5839156.034;8764.087675;7.17915318
104;426658.951;5839156.034;8764.087675;7.18760578
105;426698.951;5839156.034;8764.087675;7.1957892
106;426738.951;5839156.034;8764.087675;7.20067433
107;426778.951;5839156.034;8764.087675;7.20508649
108;426818.951;5839156.034;8764.087675;7.21146916
109;426858.951;5839156.034;8764.087675;7.22404603
110;426898.951;5839156.034;8764.087675;7.25564503
111;426938.951;5839156.034;8764.087675;7.28561564
112;426978.951;5839156.034;8764.087675;7.19675762
113;427018.951;5839156.034;8764.087675;7.20342658
114;427058.951;5839156.034;8764.087675;7.20864261
115;427098.951;5839156.034;8764.087675;7.20405305
116;427138.951;5839156.034;8764.087675;7.20003959
117;427178.951;5839156.034;8764.087675;7.19688265
118;427218.951;5839156.034;8764.087675;7.1943384
119;427258.951;5839156.034;8764.087675;7.19224974
120;427298.951;5839156.034;8764.087675;7.19051961
121;427338.951;5839156.034;8764.087675;7.18907719
122;427378.951;5839156.034;8764.087675;7.18786752
124;426218.951;5839196.034;8764.087675;7.18492021
125;426258.951;5839196.034;8764.087675;7.18538106
126;426298.951;5839196.034;8764.087675;7.18590892
127;426338.951;5839196.034;8764.087675;7.18651728
128;426378.951;5839196.034;8764.087675;7.18721746
129;426418.951;5839196.034;8764.087675;7.18800019
130;426458.951;5839196.034;8764.087675;7.18877519
131;426498.951;5839196.034;8764.087675;7.18910937
132;426538.951;5839196.034;8764.087675;7.18670405
133;426578.951;5839196.034;8764.087675;7.16204183
134;426618.951;5839196.034;8764.087675;7.00650905
135;426658.951;5839196.034;8764.087675;7.16645031
136;426698.951;5839196.034;8764.087675;7.19784697
137;426738.951;5839196.034;8764.087675;7.20581553
138;426778.951;5839196.034;8764.087675;7.21104681
139;426818.951;5839196.034;8764.087675;7.2182479
140;426858.951;5839196.034;8764.087675;7.23492986
141;426898.951;5839196.034;8764.087675;7.37432083
142;426938.951;5839196.034;8764.087675;7.50035357
143;426978.951;5839196.034;8764.087675;7.28030134
144;427018.951;5839196.034;8764.087675;7.22801668
145;427058.951;5839196.034;8764.087675;7.21333122
